City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Acari,PE,79.23,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
445,Najran,SA,64.4,clear sky,17.4924,44.1277,محمد هادي ال فطيح
447,Maiduguri,NG,68.72,clear sky,11.8464,13.1603,College of Nursing & Midwifery Female's Hostel
449,Dingle,PH,73.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
450,Woodward,US,59.0,clear sky,36.4337,-99.3904,Holiday Inn Express & Suites Woodward Hwy 270
451,Eraniel,IN,80.6,mist,8.2,77.3,As- Safa Biryani
453,Altagracia De Orituco,VE,76.77,scattered clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
454,General Roca,AR,69.8,clear sky,-39.0333,-67.5833,Hotel El Recreo
455,Bom Jesus,BR,80.78,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
456,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
458,Yambio,SS,77.68,overcast clouds,4.5721,28.3955,Naivasha Hotel
459,Sibolga,ID,74.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
465,Ca Mau,VN,71.8,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
468,Sechura,PE,82.18,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
470,Mao,ES,55.4,clear sky,39.8885,4.2658,ARTIEM Capri
476,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
477,Camocim,BR,80.49,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
479,Ratnagiri,IN,73.2,overcast clouds,16.9833,73.3,Hotel Landmark
480,Bairnsdale,AU,66.0,broken clouds,-37.8333,147.6167,Town Central Motel
481,Whyalla,AU,68.0,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
483,Kirakira,SB,82.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
484,Luba,GQ,78.8,few clouds,3.4568,8.5547,
485,Pontes E Lacerda,BR,80.69,scattered clouds,-15.2261,-59.3353,Hotel Bressan
486,Tautira,PF,87.8,moderate rain,-17.7333,-149.15,Pension Oaoa
487,Arinos,BR,78.96,broken clouds,-15.9169,-46.1056,casa do bruno
489,Ojinaga,MX,72.0,clear sky,29.5667,-104.4167,Suites Las Palmas
490,Conde,BR,80.6,few clouds,-7.2597,-34.9075,Pousada Beija Flor
493,Tamluk,IN,62.6,mist,22.3,87.9167,Green Valley Resort
498,Altamira,BR,86.0,few clouds,-3.2033,-52.2064,Requinte Hotel
499,Kandrian,PG,82.85,overcast clouds,-6.2167,149.55,Kandrian Station
501,Samarai,PG,82.29,broken clouds,-10.6167,150.6667,Nuli Sapi
502,Kiama,AU,72.0,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
504,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
506,Sorong,ID,78.48,overcast clouds,-0.8833,131.25,The Waigo Hotel
507,Roxas,PH,76.3,overcast clouds,11.5853,122.7511,Urban Manor
508,Mbarara,UG,65.21,broken clouds,-0.608,30.65,Oxford Hotel
510,Richards Bay,ZA,71.91,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
512,Yeppoon,AU,77.0,broken clouds,-23.1333,150.7333,Villa Mar Colina
515,Poya,NC,81.43,few clouds,-21.35,165.15,
517,Bondo,CD,74.66,broken clouds,3.8146,23.6866,
518,Murray Bridge,AU,63.0,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
519,Bushehr,IR,68.18,broken clouds,28.9684,50.8385,Yas Hotel
520,Bambanglipuro,ID,75.06,heavy intensity rain,-7.95,110.2833,Puri Brata
521,Vega De Alatorre,MX,70.75,overcast clouds,20.0333,-96.6333,El Polo Norte
523,Orodara,BF,78.8,clear sky,10.9492,-4.9342,Bkf Orodara
524,Kambia,SL,75.06,clear sky,9.1167,-12.9167,Hotel Moriya
525,Abu Dhabi,AE,68.0,clear sky,24.4667,54.3667,Beach Rotana
528,Kuantan,MY,73.4,few clouds,3.8077,103.32600000000001,Hotel Sentral Kuantan
532,Alexandria,EG,55.4,scattered clouds,31.2156,29.9553,Royal Crown Hotel
533,Rocha,UY,74.7,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
534,Anito,PH,75.9,overcast clouds,12.4497,125.2886,The Yellow House
538,Guaymas,MX,72.0,overcast clouds,27.9333,-110.9,Holiday Inn Express Guaymas
541,Komatipoort,ZA,75.0,clear sky,-25.4332,31.9548,Kruger View Backpackers
543,Svay Rieng,KH,70.56,broken clouds,11.0879,105.7993,Apsara guesthouse
544,Bukene,TZ,64.33,light rain,-4.2333,32.8833,New Millenium Lodge
545,Puerto Rico,AR,80.44,clear sky,-26.796,-55.023999999999994,Hotel Cabañas del Prado
547,Machiques,VE,84.6,overcast clouds,10.0644,-72.545,hotel el markes
548,Rawson,AR,59.36,few clouds,-43.3002,-65.1023,Hosteria Sampedro
550,Axim,GH,78.21,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
555,San,ML,76.08,clear sky,13.3034,-4.8956,Hôtel Teriya
556,Marco,US,71.6,clear sky,25.9726,-81.729,Marco Island Lakeside Inn
557,Beaufort,MY,77.0,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
560,Dicabisagan,PH,68.92,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
