City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Current Description
188,Boyolangu,ID,-8.1181,111.8935,74.39,89,4.25,moderate rain
189,Ahipara,NZ,-35.1667,173.1667,68.99,59,6.71,clear sky
190,Scarborough,GB,54.2797,-0.4044,37.0,87,5.01,overcast clouds
191,Road Town,VG,18.4167,-64.6167,78.01,73,3.44,few clouds
192,Fortuna,US,40.5982,-124.1573,55.99,81,8.05,clear sky
193,Leshukonskoye,RU,64.8989,45.7622,11.34,94,9.46,overcast clouds
194,Poronaysk,RU,49.2167,143.1167,8.98,92,13.13,overcast clouds
195,Studena,CZ,49.1852,15.2869,39.0,100,16.33,overcast clouds
196,Paamiut,GL,61.994,-49.6678,33.37,83,7.63,broken clouds
197,Kapit,MY,2.0167,112.9333,71.87,95,1.07,overcast clouds
198,Iglesias,IT,39.3114,8.535,60.8,63,16.11,few clouds
199,Frankfurt,DE,50.1167,8.6833,48.0,87,12.66,broken clouds
200,Khor,RU,47.8861,134.9464,-20.07,86,6.33,overcast clouds
201,Udachnyy,RU,66.4167,112.4,-36.9,80,4.7,broken clouds
202,Batangafo,CF,7.3008,18.2833,77.49,24,3.02,overcast clouds
203,Magway,MM,20.15,94.9167,63.81,46,2.04,clear sky
204,Pevek,RU,69.7008,170.3133,-29.18,85,3.0,clear sky
205,Sirohi,IN,24.8833,72.8667,47.53,50,2.71,clear sky
206,Gat,IL,31.61,34.7642,55.99,100,1.01,few clouds
207,Backa Topola,RS,45.8152,19.6318,42.33,93,7.25,overcast clouds
208,Kovdor,RU,67.5662,30.4758,4.66,95,4.16,overcast clouds
209,Yashkul,RU,46.1711,45.3435,36.95,79,6.91,overcast clouds
210,Saint-Pierre,RE,-21.3393,55.4781,78.8,65,5.75,clear sky
211,Sur,OM,22.5667,59.5289,64.17,55,8.25,clear sky
212,Hokitika,NZ,-42.7167,170.9667,61.52,51,4.94,clear sky
213,Point Fortin,TT,10.1833,-61.6833,81.0,77,1.01,broken clouds
214,Bejar,ES,40.3864,-5.7634,48.0,96,3.0,broken clouds
215,Guerrero Negro,MX,27.9769,-114.0611,66.67,57,16.2,clear sky
216,Kajaani,FI,64.2273,27.7285,17.6,93,10.36,light snow
217,Zabol,AF,32.25,67.25,32.88,68,2.17,scattered clouds
218,Beloha,MG,-25.1667,45.05,76.77,85,8.43,scattered clouds
219,Makakilo City,US,21.3469,-158.0858,80.6,50,10.36,few clouds
220,Terra Santa,BR,-2.1042,-56.4869,79.39,85,1.61,light rain
221,Khash,IR,28.2211,61.2158,47.07,40,3.36,clear sky
222,Blumberg,DE,47.8406,8.5333,43.0,90,1.99,overcast clouds
223,Praia Da Vitoria,PT,38.7333,-27.0667,57.2,82,6.62,few clouds
224,Farrukhnagar,IN,17.0778,78.2011,70.0,94,3.44,mist
225,Leh,IN,34.1667,77.5833,-0.62,65,2.35,few clouds
226,Beipiao,CN,41.7919,120.7792,6.4,87,7.81,clear sky
227,West Wendover,US,40.7391,-114.0733,44.6,57,8.05,overcast clouds
228,Mackay,AU,-21.15,149.2,78.8,83,10.36,overcast clouds
229,Santa Rosa,PH,14.3122,121.1114,75.99,73,3.44,few clouds
230,Boende,CD,-0.2167,20.8667,73.02,89,2.3,overcast clouds
231,Coquimbo,CL,-29.9533,-71.3436,66.2,68,12.66,few clouds
232,Catumbela,AO,-12.4314,13.5472,75.43,81,4.56,broken clouds
233,Kokemaki,FI,61.2565,22.3564,19.4,79,10.36,clear sky
234,Tefe,BR,-3.3542,-64.7114,82.4,78,3.44,few clouds
235,Orlik,RU,52.5178,99.825,3.81,84,5.35,overcast clouds
236,Jalu,LY,29.0331,21.5482,55.49,69,7.76,clear sky
237,El Alto,PE,-4.2714,-81.2147,75.4,77,12.57,few clouds
238,Longyearbyen,SJ,78.2186,15.6401,-0.4,55,24.16,few clouds
239,Mareeba,AU,-17.0,145.4333,81.0,83,10.36,scattered clouds
240,Ancud,CL,-41.8697,-73.8203,60.8,51,10.36,clear sky
241,Zlobin,HR,45.2924,14.6541,48.2,87,4.61,scattered clouds
242,Port Hardy,CA,50.6996,-127.4199,42.8,81,20.71,overcast clouds
243,Harrison,US,30.4091,-89.0436,55.99,41,4.61,clear sky
244,Khatanga,RU,71.9667,102.5,-44.0,74,2.64,clear sky
245,Kokopo,PG,-4.352,152.2633,82.67,80,13.85,overcast clouds
246,Siavonga,ZM,-16.5382,28.7088,72.99,84,1.3,overcast clouds
247,Victoria,HK,22.2855,114.1577,59.0,72,20.85,clear sky
248,Lompoc,US,34.6391,-120.4579,52.0,87,5.66,broken clouds
249,Pacific Grove,US,36.6177,-121.9166,55.99,54,6.91,scattered clouds
250,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,86.04,64,0.98,broken clouds
251,Bonfim,BR,3.0833,-59.95,86.49,51,8.08,overcast clouds
